figure,panel,task,scenario,stage,tier,metric,estimate,ci_lower,ci_upper,category,status,note
3,A,perioperative_ecg,,cal,,implemented_saturation_normalized,0.0274112744722,0.00941543138402,0.0468286641835,,,Low-information minus high-information implemented value; pointwise interval
3,A,perioperative_ecg,,lte,,implemented_saturation_normalized,0.0266981461724,0.00735715615231,0.0452300469738,,,Low-information minus high-information implemented value; pointwise interval
3,B,cardiac_surgery,,train,,implemented_saturation_normalized,0.0538114353503,0.0335561960248,0.0747443922375,,,Low-information minus high-information implemented value; pointwise interval
3,B,cardiac_surgery,,cal,,implemented_saturation_normalized,0.0670567249998,0.0332150698061,0.0986128130704,,,Low-information minus high-information implemented value; pointwise interval
3,B,cardiac_surgery,,lte,,implemented_saturation_normalized,0.0592522196271,0.0280947970147,0.0911200584526,,,Low-information minus high-information implemented value; pointwise interval
5,A,perioperative_ecg,,train,I0,configuration_ifv_nats,0.0328733703875,0.0232470795501,0.0422278261046,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,train,I1,configuration_ifv_nats,0.0160217402253,0.00620146246902,0.0260493902741,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,train,I2,configuration_ifv_nats,-0.00339629202266,-0.00924195579228,0.0025047312779,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,train,I3,configuration_ifv_nats,-0.00282704343187,-0.00701342646638,0.00143466529476,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,cal,I0,configuration_ifv_nats,0.0291162922335,0.0118069790129,0.0472048339162,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,cal,I1,configuration_ifv_nats,0.0162409613877,-0.00148054665743,0.0343604255357,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,cal,I2,configuration_ifv_nats,0.00415213821957,-0.00577774559407,0.0138019874619,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,cal,I3,configuration_ifv_nats,0.00427451345162,-0.00356325071218,0.0120789347579,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,lte,I0,configuration_ifv_nats,0.0296860780961,0.0123887629136,0.0469341143541,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,lte,I1,configuration_ifv_nats,0.0161182844822,-0.0029414677822,0.0345816262555,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,lte,I2,configuration_ifv_nats,0.00563613732422,-0.00515479684257,0.0157026965463,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,A,perioperative_ecg,,lte,I3,configuration_ifv_nats,0.00402907178335,-0.00383880342593,0.012271127921,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,train,I0,configuration_ifv_nats,0.00752961802926,0.00364087246277,0.0116683462304,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,train,I1,configuration_ifv_nats,0.00818831953383,0.00435432714908,0.01246733896,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,train,I2,configuration_ifv_nats,-0.00111156627338,-0.00231446000516,6.51103435397e-05,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,train,I3,configuration_ifv_nats,-0.000373796940337,-0.00128701457383,0.00047609595157,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,cal,I0,configuration_ifv_nats,0.0117718155558,0.00569439345581,0.0181360733499,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,cal,I1,configuration_ifv_nats,0.0101045485411,0.0035239323817,0.0170402487805,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,cal,I2,configuration_ifv_nats,0.000138448819867,-0.00200870538373,0.00216605941313,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,cal,I3,configuration_ifv_nats,0.000492927200315,-0.000943111253552,0.0019035751666,selective_or_local_validation,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,lte,I0,configuration_ifv_nats,0.0145087878663,0.00537261598648,0.0238974542862,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,lte,I1,configuration_ifv_nats,0.0145428324124,0.00444145037354,0.0255585718821,engineering_and_local_validation_priority,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,lte,I2,configuration_ifv_nats,-0.000792157096446,-0.00361371217886,0.0020916937056,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,B,cardiac_surgery,,lte,I3,configuration_ifv_nats,-0.000440438895478,-0.00238078494491,0.00153356336496,no_positive_implemented_value,,Descriptive configuration; pointwise interval
5,C,,,,,operating_gate,,,,Clean signal,REPLICATED,Positive lower-information value was replicated in both tasks
5,C,,,,,operating_gate,,,,G3 transport,PASS,Cross-task transport of the task-level information pattern passed
5,C,,,,,operating_gate,,,,G2 stress,FAIL,Prespecified engineering stress robustness was not established
5,C,,,,,operating_gate,,,,P19 localization,PARTIAL,Physiological-domain localization remained partially identifiable
